channel_id,title,contents,likes_policy_zero,description_empty,subscriber_count,total_view_count,total_video_count,video_views,video_likes,video_comments,channel_issues,video_issues
UCOsYLwAWJoTE09U3af_ZX-A,Pierre Marinho Biscuit,3,0,2,81900,6688136,731,1938,176,19,0,0
UCP8GsdpqoorBmNyypx56Uvg,K1NG,30,0,1,344000,54012516,2068,807104,35564,1918,0,0
UCPFp7jueKNCahkITclnGLsg,Dani Delinski - Costura Criativa,11,0,7,577000,66530325,316,1246116,52832,868,0,0
UCPJ0kzyFqdgs-LqAjjzDPTg,tvtreba,30,0,1,23800,3236505,2580,7497,139,1,0,0
UCPJHprsFa_t5DAT6KJt16Cg,Arthur Paek,1,0,1,714000,169480433,104,2867725,89100,1648,0,0
UCPR2cIofOmDrhgcQjV91plw,Elas Empreendedoras por Karen Etoboer,6,0,0,6910,333375,85,828,59,34,0,0
UCPXpptSpw2ISORJxb1bi6iA,Adriana Amai,1,0,1,2020,76448,94,43,3,0,0,0
UCPnJRRZZ5tiD8AAmky_xzyA,Canal o Homem Da Roça,30,0,30,12700,2832781,2697,40069,1594,79,0,0
UCPqrrcB4DdoYSsvAfZ5uYEg,Renato Lucena Oficial,16,0,5,1180,117242,216,2544,66,10,0,0
UCQqqj_1mNn7DSGMsR7_BDcg,Mano LP,29,0,0,180000,53631481,2375,403084,19395,313,0,0
UCQxDnCnXOZrE1sjTGEuqNeQ,Ale Gitti,30,0,17,21000,1845247,237,266571,5818,250,0,0
UCR4diJKZAuS7gG2dOfOYK3Q,Yuji Pesca,30,0,27,476000,234171096,3456,245659,3498,275,0,0
UCReFagKZZzPFPQ1ZgGgKRBQ,Sonho em Quatro Rodas,12,0,0,7190,616575,239,114833,8425,603,0,0
UCRgLKG8XG0CJsCGYIc9J8KA,estsee,30,0,0,348000,76176105,678,161556,2549,660,0,0
UCSPZDR0WPFKGYpu8YxdWnaQ,Fabia Godoi,30,0,20,37600,23670049,1085,86721,2582,46,0,0
UCSnUoB_TXU2wmmxyATjfvMw,View of Rio de Janeiro,30,0,15,11300,2991692,1042,77797,1278,48,0,0
UCSorSSC65cU6v4F6m718B5Q,Paulo Invest,1,0,1,8470,323812,461,38,8,1,0,0
UCTwUnhyGP0m6l8wQX55e9Eg,Anda no Rio e Brasil,2,0,1,2370,872425,315,2401,24,0,0,0
UCU8MdO1QE_MPWvAfj741dqQ,MrJhont,30,0,4,111000,4674060,170,380188,15000,1859,0,0
UCUE8XRrOPP6z_g_lwfEHlpw,"CURSOS DE MERGULHO LIVRE, PESCA SUB, APNEIA, LOJA",2,0,0,38700,5103781,751,320,19,3,0,0
UCUNqZtpNfiQLQZ9PiY-pYMA,Treino Inteligente 2.0,2,0,0,1920,161396,231,226,11,3,0,0
UCUkyc-Gr9nsMwQrRCoPC1Fg,Super Biscuit,1,0,1,23500,2927624,405,5213,86,4,0,0
UCUrQ__GcRp8g6VXVglK3Ydw,Futebol Boss,30,0,0,135000,32037248,3474,121053,1845,44,0,0
UCUw1oyqtW7PpeEVmTorPEDw,Pod Acessar,30,0,0,12100,686884,866,31400,316,38,0,0
UCV8QKzUsl_VEEBilmW7eHPg,Biscuit da Zurc,4,0,4,47300,2323775,437,6527,275,12,0,0
UCV8zuWN8EWaz5iOt0S_qI5A,Se Torne Investidor com Wesley Martins,3,0,0,291000,16557519,582,567,21,4,0,0
UCVGEzIT-sJdWzkSzczN2usQ,Grupo de Dabke Yalla Shabab,1,0,0,2660,667385,415,1653,12,0,0,0
UCVYXbIvSSvrN1vHemGkmlRg,BIZ RX MOTORCYCLE ADVENTURE,1,0,0,9880,851405,112,7418,334,93,0,0
UCVnuLoXTXauz8-d9A7nnYdg,Caleen,21,0,1,119000,25470098,378,1459570,83861,3927,0,0
UCW0LtnmZLSLea_Ei4T9s8KA,Sua Imagem Sua Marca - Christie Giovannetti,28,0,2,10900,1337341,388,17473,828,2,0,0
UCW5-DXNq9QWhw-R-AieZgqw,Conecta Com ALY,30,0,10,7680,4091436,303,5634,110,5,0,0
UCWEuX1yiSY_LLoXeKZ27kKw,Método 12P,30,0,0,6290,431675,500,10171,206,12,0,0
UCWG2b3GNAIDx9KlpYn_WEJQ,Celebs Goat,26,0,0,76600,74060224,124,13560377,138931,2737,0,0
UCWVFCw3wdi41I7D7tP-7vQg,Hellena Cometti Costura,7,0,0,50000,2368732,506,12557,953,98,0,0
UCWcQLPOyDFoktezqsxxWLxg,CONFAP,30,0,1,1300,27284,139,2269,179,14,0,0
UCX3Y1r0_VdTia2ZR7lMOSUA,CozinhandoComNane,3,0,3,1340000,129917357,1214,5458,200,0,0,0
UCX_2ZJPyqJVpC4Tk7YOzw5Q,cbrasb,5,0,0,7420,1008940,202,23877,715,11,0,0
UCXnRa9FHrdet-dS3veX617A,Thais Braz,30,0,6,218000,37015386,227,5349957,448141,5919,0,0
UCXrSLrgAzfbdOp2-opAV1Lg,Blog do Kempes,30,0,18,49900,12197029,1707,264507,10866,573,0,0
UCY-NUmMAI9Mr05A3a4cmXLw,Sam's Club Brasil,3,0,0,23000,31190741,175,787,37,0,0,0
UCY4pxKSzxcYgDfgDZ_c2jTQ,THE VALENTIM,30,0,1,2720,891997,792,14830,572,26,0,0
UCYCRQ-ulnzV_kMR2RSr59HQ,Bobina Quente ®,4,4,4,1330,153225,81,5517,0,1,0,0
UCYF181ESO69Nt42W-Pksj-Q,Vagostelo,30,0,0,223000,237397963,339,15506030,1001445,15035,0,0
UCYPI_EGGQ1aNxXElruuyp8g,Declarando Bitcoin,30,0,0,31300,2281816,1357,55296,3281,241,0,0
UCYQQ_TCeDboXxuwz4sx5zWw,BlueStar Artes Artesanato & Confeitaria,30,0,0,67900,8658505,658,155174,4471,71,0,0
UCYykqOLJ-RwbtzZuBLWwweA,Daiane Bonfim,9,0,0,14000,774756,175,3562,331,97,0,0
UCZKQwTPyK4Mg6iLFxJ8MFxw,Luana Rachelle - Lua de Lua ateliê,3,0,0,28400,4143123,137,1129,127,8,0,0
UCZLcrrhta_llTrnrqQDWpAQ,Maternidade Sem Neura,30,0,22,1120,334898,305,12182,76,17,0,0
UCZN1nDUWDIgDsnQAq9qtG7w,Sloths,3,0,0,5410,3953725,548,6512,124,3,0,0
UCZbCARm3sig1x0Nxql6czNg,Dudoka tv,8,0,8,8220,1488327,52,50649,1033,71,0,0
UC_2_TYzQ9szZs-Ir9RxLV-w,Canal Mundo Bet,30,0,6,639000,64638400,1351,56511,3223,395,0,0
UC_UGCHSD3WGQYgbcQL0LltA,Cristina Bonita,30,0,21,7150,887396,2303,21502,298,31,0,0
UC_n2-RkfgGDjlNIESp6hZyw,Board Game Brasil,24,0,0,2730,258805,477,14308,1536,361,0,0
UCaJ8r_0nFEpVsl80YcvHIMg,Fubeca Race,21,0,0,423000,74946858,1245,49039,1007,72,0,0
UCaMm9Dk5Ns7qkU5RYmSVljw,VÍTOR PARRAGA,30,0,19,2500,752048,722,8265,110,10,0,0
UCaO7ifnSflN05oCRrBzhPwg,Juju Feijó,30,0,1,2160,1046286,470,36287,683,20,0,0
UCaOrYCMEEXFcaz07NNwUioA,Best of Base,25,0,0,9090,3621367,708,25875,1134,522,0,0
UCaUgDtaxBA_MdvZxVPZ2Mzw,Travel S/A,18,0,13,3070,750301,423,15496,459,9,0,0
UCac_dbs6aSgp7PeNfaGxHMg,(.Nex”),30,27,0,101000,15835008,608,3175541,58,3659,0,0
UCaeMxeDfasaHj_VV4Kho78g,Vinicio Antony - Performance e Treinamento,30,0,1,38400,4108963,440,103145,8777,314,0,0
UCavcZt2koKqnepGdmZ15wQA,Aulinhas da Paixão,17,0,7,207000,14809949,1180,27325,2460,183,0,0
UCbMr3R6Azb6GSvzoGvn2BCA,Bitnoob,29,0,10,75500,4820010,898,42134,2261,400,0,0
UCbRr_iNugU0bOtulkigy2Tg,Ateliê Juliana Nogueira,30,0,29,40100,3085648,230,603261,10209,283,0,1
UCbppt0ZNLBZ4_n2ZPzjx-Fg,Diego Borges,11,0,5,3600,290167,186,11486,170,39,0,0
UCbwjCVp5IcaqD1yRVR5Dc5A,+ZOOM TOQUE,4,0,0,1080,125238,94,262,8,2,0,0
UCc7E5OrQT6A0PlCnNT2oZuQ,ZackZin,11,0,0,60800,17924650,45,325982,12403,1437,0,0
UCc7x8VmyyO_JWduBjQ6_Lng,Alice Steffane,1,0,1,18700,7330702,92,2221,20,0,0,0
UCcAX3zoRS0Lz7NUEK_j0qpg,Esporte Total - Momentos Emocionantes,30,18,0,7580,2237428,3858,23965,601,130,0,0
UCcQDXY33Kv9VcUncVNXgEJg,Jota,30,0,0,87800,30362186,2806,151587,9144,890,0,0
UCcZV5VdahPHZqqCJxFrTClg,SÓ VA'AI,11,0,10,1930,205384,198,8989,117,1,0,0
UCcdF9elnCwVWPfyAxVfufbQ,Prefeitura de Parauapebas,30,0,0,5850,437774,2612,2386,48,0,0,0
UCcgC_Ej5xhoojRkT1ZFd5Hw,Silvana Receitas,2,0,0,35200,2803298,139,423,53,1,0,0
UCciQ4oIsex9PBEQnDNiqDPA,Fazendo Arte 10,18,0,0,405000,54569058,708,167576,8247,773,0,0
UCcpgEnBOqOuYlMKkZmNCubw,FIESC Oficial,21,0,0,16900,15099427,2351,2594005,181,8,0,0
UCd-kUP64KjGBuRdlAX_NFHA,Ofertinhas da mamãe e bebê,7,0,1,11000,5081295,435,3818,35,7,0,0
UCd2Mm6QKAMPQDyF9-kB2wLg,Ralph Almeida,8,0,1,33300,1421132,476,3528,168,31,0,0
UCd6zFhLfcoilM9wuc3IVqoA,Canal Fiq Sabendo Oficial,6,0,0,324000,60430181,2492,5391,623,91,0,0
UCdPaAnR8IhaI6GMg8niVDdA,MC Cortez,4,0,0,23200,14803314,83,119584,1899,79,0,0
UCdivlaP-Po_M-PCONCDOb4g,JOJO,30,0,0,134000,22720939,651,141077,3722,520,0,0
UCdyoo-gcTVh4efpseFP9bdg,Soares Auto Brasil,30,0,1,18400,7910271,688,35297,1032,136,0,0
UCe4-T4YXDyuYnoexpYvPtoQ,Planeta Nerd,11,0,0,136000,9834695,359,225838,5378,134,0,0
UCe9GDNHPf9mzHkAV5RsL-oQ,Comando Militar do Sul - Exército Brasileiro,11,0,0,39800,5235548,925,56790,2253,0,0,0
UCeA7zO7MPQ6TDsyov-aTTxg,Jeferson pajé,5,0,5,9820,3277607,1075,5944,128,3,0,0
UCesRjmf4v10kE4ZBAmNYZbA,DIY - Pop de Biscuit,1,0,0,32800,4065208,307,336,51,1,0,0
UCf75fg3VemQx9A_Z6FfoDRg,Abralin,10,0,0,46800,1801719,781,6814,573,16,0,0
